Location,Description,Service
Karnstadt Library,"A towering structure of black stone and stained glass, filled with pre-Catastrophe scrolls, arcane tomes, and lost histories. Maintained by scholars and whispered to be older than the town itself.",Research
Karnstadt Library,"A towering structure of black stone and stained glass, filled with pre-Catastrophe scrolls, arcane tomes, and lost histories. Maintained by scholars and whispered to be older than the town itself.",translation
Karnstadt Library,"A towering structure of black stone and stained glass, filled with pre-Catastrophe scrolls, arcane tomes, and lost histories. Maintained by scholars and whispered to be older than the town itself.",lore identification
Karnstadt Library,"A towering structure of black stone and stained glass, filled with pre-Catastrophe scrolls, arcane tomes, and lost histories. Maintained by scholars and whispered to be older than the town itself.",rare book copying
The Vaults,"Deep beneath the Library, ancient mechanical halls sealed since the Catastrophe. Rumored to house lost technologies, pre-cataclysmic constructs, and forbidden devices.",Unknown—suspected to provide access to lost tech and relics if unlocked
Chapel of Edras,"A crumbling chapel dedicated to Edras, god of dusk, memory, and secrets. Candlelit vigils are held nightly.",Blessings
Chapel of Edras,"A crumbling chapel dedicated to Edras, god of dusk, memory, and secrets. Candlelit vigils are held nightly.",spiritual guidance
Chapel of Edras,"A crumbling chapel dedicated to Edras, god of dusk, memory, and secrets. Candlelit vigils are held nightly.",burial rites
Chapel of Edras,"A crumbling chapel dedicated to Edras, god of dusk, memory, and secrets. Candlelit vigils are held nightly.",basic healing
Baron's Manse,"An aging manor on the northern cliff, occupied by Baron Veynar. Its halls echo with political scheming and isolation.",Tax collection
Baron's Manse,"An aging manor on the northern cliff, occupied by Baron Veynar. Its halls echo with political scheming and isolation.",noble judgment
Baron's Manse,"An aging manor on the northern cliff, occupied by Baron Veynar. Its halls echo with political scheming and isolation.",land deeds
Market Square,"The heart of daily commerce, surrounded by wooden stalls and faded guild banners. Sparse trade flows in from the east road.",Trade
Market Square,"The heart of daily commerce, surrounded by wooden stalls and faded guild banners. Sparse trade flows in from the east road.",rumors
Market Square,"The heart of daily commerce, surrounded by wooden stalls and faded guild banners. Sparse trade flows in from the east road.",barter
Market Square,"The heart of daily commerce, surrounded by wooden stalls and faded guild banners. Sparse trade flows in from the east road.",meal purchases
Market Square,"The heart of daily commerce, surrounded by wooden stalls and faded guild banners. Sparse trade flows in from the east road.",common supplies
The Broken Tankard Inn,"A smoky, dim inn known for bitter ale and stranger gossip. Frequented by guards, loners, and travelers.",Food
The Broken Tankard Inn,"A smoky, dim inn known for bitter ale and stranger gossip. Frequented by guards, loners, and travelers.",drink
The Broken Tankard Inn,"A smoky, dim inn known for bitter ale and stranger gossip. Frequented by guards, loners, and travelers.",rest
The Broken Tankard Inn,"A smoky, dim inn known for bitter ale and stranger gossip. Frequented by guards, loners, and travelers.",information
The Broken Tankard Inn,"A smoky, dim inn known for bitter ale and stranger gossip. Frequented by guards, loners, and travelers.",gambling
Guard Barracks,"Stone-walled quarters with armory and training grounds. Morale is low, and supplies are scarce.",Law enforcement
Guard Barracks,"Stone-walled quarters with armory and training grounds. Morale is low, and supplies are scarce.",militia hiring
Guard Barracks,"Stone-walled quarters with armory and training grounds. Morale is low, and supplies are scarce.",minor disputes
East Gate,Main trade route entry. Weathered gate flanked by watchtowers and rusted portcullis.,Entry control
East Gate,Main trade route entry. Weathered gate flanked by watchtowers and rusted portcullis.,toll collection
East Gate,Main trade route entry. Weathered gate flanked by watchtowers and rusted portcullis.,trade inspection
West Gate,Rarely used exit toward moors and forgotten paths. Less secure.,Limited passage
West Gate,Rarely used exit toward moors and forgotten paths. Less secure.,secretive comings and goings
The Old Cemetery,Fog-covered graveyard behind the chapel. Graves vary from honored knights to unmarked paupers.,Burial
The Old Cemetery,Fog-covered graveyard behind the chapel. Graves vary from honored knights to unmarked paupers.,exhumation (rare)
The Old Cemetery,Fog-covered graveyard behind the chapel. Graves vary from honored knights to unmarked paupers.,local lore
The Old Cemetery,Fog-covered graveyard behind the chapel. Graves vary from honored knights to unmarked paupers.,suspected hauntings
