Location,Description,People,Facilities,Services
Karnstadt Library,"A towering structure of black stone and stained glass, filled with pre-Catastrophe scrolls, arcane tomes, and lost histories. Maintained by scholars and whispered to be older than the town itself.","Scholars, scribes, apprentices, one Head Archivist (currently absent)","Main reading hall, sealed Vaults below, scriptorium, restricted wing, rooftop observatory","Research, translation, lore identification, rare book copying"
The Vaults,"Deep beneath the Library, ancient mechanical halls sealed since the Catastrophe. Rumored to house lost technologies, pre-cataclysmic constructs, and forbidden devices.",None known currently. Previously overseen by the Mechanist Order (defunct).,"Arcane locking systems, mechanical chambers, cryptic archives, containment rooms",Unknown—suspected to provide access to lost tech and relics if unlocked
Chapel of Edras,"A crumbling chapel dedicated to Edras, god of dusk, memory, and secrets. Candlelit vigils are held nightly.","1 Elder Priestess, 2 Novices, few faithful townsfolk","Altar, confession crypts, herb garden, bell tower","Blessings, spiritual guidance, burial rites, basic healing"
Baron’s Manse,"An aging manor on the northern cliff, occupied by Baron Veynar. Its halls echo with political scheming and isolation.","Baron Veynar, 4 house guards, 2 stewards, 1 secretive advisor","Audience hall, war room, private garden, vault","Tax collection, noble judgment, land deeds"
Market Square,"The heart of daily commerce, surrounded by wooden stalls and faded guild banners. Sparse trade flows in from the east road.","Merchants, peddlers, farmers, townsfolk, 1 market overseer","Stalls, weighing station, dried goods storehouse","Trade, rumors, barter, meal purchases, common supplies"
The Broken Tankard Inn,"A smoky, dim inn known for bitter ale and stranger gossip. Frequented by guards, loners, and travelers.","Innkeeper Brana, 2 servers, 1 bard, rough clientele","Common room, 4 rented rooms, cellar, gambling table","Food, drink, rest, information, gambling"
Guard Barracks,"Stone-walled quarters with armory and training grounds. Morale is low, and supplies are scarce.","Captain Roeg, 10 active guards, 2 jailers","Bunks, mess hall, armory, 4-cell jail","Law enforcement, militia hiring, minor disputes"
East Gate,Main trade route entry. Weathered gate flanked by watchtowers and rusted portcullis.,"3 rotating guards, occasional caravans","Gatehouse, lookout posts, checkpoint ledger","Entry control, toll collection, trade inspection"
West Gate,Rarely used exit toward moors and forgotten paths. Less secure.,"2 part-time guards, few wanderers","One tower, rotting stables","Limited passage, secretive comings and goings"
The Old Cemetery,Fog-covered graveyard behind the chapel. Graves vary from honored knights to unmarked paupers.,"Caretaker Luth, sometimes local mourners","Mausoleum, chapel crypt access, bone pit","Burial, exhumation (rare), local lore, suspected hauntings"
